imglink,infolink,name,city,country,lat,lng
https://assets.atlasobscura.com/media/W1siZiIsInVwbG9hZHMvcGxhY2VfaW1hZ2VzLzA4OWE4MDMzLWMxMWUtNDRkZi1iMDQ5LTI4NmY4ZTk5NDZjZTZkZjc3OWMzNzg1OGM4ZGJjOV9JTUctMTc4My5KUEciXSxbInAiLCJjb252ZXJ0IiwiLWF1dG8tb3JpZW50ICJdLFsicCIsInRodW1iIiwiMjg4NXgxOTIzKzArMTIzIl0sWyJwIiwiY29udmVydCIsIi1xdWFsaXR5IDgxIC1hdXRvLW9yaWVudCJdLFsicCIsInRodW1iIiwiNjAweDQwMCMiXV0/IMG-1783.JPG,https://www.atlasobscura.com/places/royal-mausoleum-of-mauretania,Royal Mausoleum of Mauretania,Tipaza,Algeria,36.575134,2.552847
https://assets.atlasobscura.com/media/W1siZiIsInVwbG9hZHMvcGxhY2VfaW1hZ2VzLzI0YWJhZDUyLTJiN2YtNGY0ZS04YzYzLTMwMjQ0N2Y0MmU5Y2ZlOGFlNmI4ZGJjMGEwNzI4OV90aXBhc2E0LmpwZyJdLFsicCIsImNvbnZlcnQiLCIiXSxbInAiLCJjb252ZXJ0IiwiLXF1YWxpdHkgODEgLWF1dG8tb3JpZW50Il0sWyJwIiwidGh1bWIiLCI2MDB4NDAwIyJdXQ/tipasa4.jpg,https://www.atlasobscura.com/places/tipasa-roman-ruins,Tipasa Roman Ruins,Tipaza,Algeria,36.593806,2.44449
https://assets.atlasobscura.com/media/W1siZiIsInVwbG9hZHMvcGxhY2VfaW1hZ2VzLzFmMGQyOWUzLTRiNGMtNDM2Ny04NjMxLWZhYWUyNWNjNDE2OTViNGY4ZGQ0Y2MwMTQyZmViYV8xMjAwcHgtR29yZ2VzX2R1X1JodW1tZWxfJl9wb250cy5qcGciXSxbInAiLCJjb252ZXJ0IiwiIl0sWyJwIiwiY29udmVydCIsIi1xdWFsaXR5IDgxIC1hdXRvLW9yaWVudCJdLFsicCIsInRodW1iIiwiNjAweDQwMCMiXV0/1200px-Gorges_du_Rhummel_%26_ponts.jpg,https://www.atlasobscura.com/places/sidi-m-cid-suspension-bridge,Sidi M'Cid Bridge,Constantine,Algeria,36.374494,6.612388
https://assets.atlasobscura.com/media/W1siZiIsInVwbG9hZHMvcGxhY2VfaW1hZ2VzL2FmNmU0NjU0LTY5MGYtNDYwYi1hNjQ0LTNlYzkyOWEzNDZkNmY4ZGQzMDVjNzE0YTMzNzFiN18zMjQ1ODQ4Nl8yOTQ4MDQwNzEwNTc3OTBfMjcwNjAzNDIxOTE3NTM3ODk0NF9uLmpwZyJdLFsicCIsImNvbnZlcnQiLCIiXSxbInAiLCJjb252ZXJ0IiwiLXF1YWxpdHkgODEgLWF1dG8tb3JpZW50Il0sWyJwIiwidGh1bWIiLCI2MDB4NDAwIyJdXQ/32458486_294804071057790_2706034219175378944_n.jpg,https://www.atlasobscura.com/places/timgad,Timgad,Batna,Algeria,35.484296,6.467686
https://assets.atlasobscura.com/media/W1siZiIsInVwbG9hZHMvcGxhY2VfaW1hZ2VzLzY4YmU0NDI5LTY2ZDgtNDBlOC1hNmFjLTY4MzY0NTM0MTRkYTk1Mjk0NDFlMDcxMDAzNjk1YV9JTUdfMDcxNC5KUEciXSxbInAiLCJjb252ZXJ0IiwiIl0sWyJwIiwiY29udmVydCIsIi1xdWFsaXR5IDgxIC1hdXRvLW9yaWVudCJdLFsicCIsInRodW1iIiwiNjAweDQwMCMiXV0/IMG_0714.JPG,https://www.atlasobscura.com/places/sacred-heart-cathedral-of-oran,Sacred Heart Cathedral of Oran,Oran,Algeria,35.700278,-0.646389
https://assets.atlasobscura.com/media/W1siZiIsInVwbG9hZHMvcGxhY2VfaW1hZ2VzLzcwMGY4ZTJhLWY5OTItNDc5Ni1iM2VjLWYxMTFlM2VjNGU4YTQ4ZDg0OTcyMDZmMjkzYTFjOF9JTUctMTY0OS5KUEciXSxbInAiLCJjb252ZXJ0IiwiLWF1dG8tb3JpZW50ICJdLFsicCIsInRodW1iIiwiODIyeDU0OCswKzAiXSxbInAiLCJjb252ZXJ0IiwiLXF1YWxpdHkgODEgLWF1dG8tb3JpZW50Il0sWyJwIiwidGh1bWIiLCI2MDB4NDAwIyJdXQ/IMG-1649.JPG,https://www.atlasobscura.com/places/martyrs-memorial,Martyrs' Memorial,El Madania,Algeria,36.740531,3.072676
https://assets.atlasobscura.com/media/W1siZiIsInVwbG9hZHMvcGxhY2VfaW1hZ2VzL2E2NDRiYjA5YmMwOTMwMTVmMl80MDBweC1HcmVhdF9aaW1iYWJ3ZV8oRG9uam9uKS5qcGciXSxbInAiLCJjb252ZXJ0IiwiIl0sWyJwIiwiY29udmVydCIsIi1xdWFsaXR5IDgxIC1hdXRvLW9yaWVudCJdLFsicCIsInRodW1iIiwiNjAweDQwMCMiXV0,https://www.atlasobscura.com/places/great-zimbabwe,Great Zimbabwe,Masvingo,Zimbabwe,-20.25962,30.936012
https://assets.atlasobscura.com/media/W1siZiIsInVwbG9hZHMvcGxhY2VfaW1hZ2VzL2EwNDAyNTg5MmNjNWU0MGQ3NF9aaW1iYWJ3ZV8kMTAwX3RyaWxsaW9uXzIwMDlfT2J2ZXJzZS5qcGciXSxbInAiLCJjb252ZXJ0IiwiIl0sWyJwIiwiY29udmVydCIsIi1xdWFsaXR5IDgxIC1hdXRvLW9yaWVudCJdLFsicCIsInRodW1iIiwiNjAweDQwMCMiXV0/Zimbabwe_%24100_trillion_2009_Obverse.jpg,https://www.atlasobscura.com/places/balancing-rocks-of-the-zimbabwe-dollar,Balancing Rocks of the Zimbabwe Dollar,Harare,Zimbabwe,-17.884794,31.125914
https://assets.atlasobscura.com/media/W1siZiIsInVwbG9hZHMvcGxhY2VfaW1hZ2VzLzljYmZhNGM1ODM0NWQ1ZmM1NjY5YzQ5YzMzNGYxYjQzZDNlNTkzY2QuanBnIl0sWyJwIiwiY29udmVydCIsIiJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA4MSAtYXV0by1vcmllbnQiXSxbInAiLCJ0aHVtYiIsIjYwMHg0MDAjIl1d/9cbfa4c58345d5fc5669c49c334f1b43d3e593cd.jpg,https://www.atlasobscura.com/places/yamoussoukro,Basilica of Our Lady of Peace of Yamoussoukro,Yamoussoukro,Ivory Coast,6.808046,-5.299873
https://assets.atlasobscura.com/media/W1siZiIsInVwbG9hZHMvcGxhY2VfaW1hZ2VzL2VmYWIzZmY3OGJmMDZiMmQxMWYyZWQ5NjgwZmJhYzFjMzBhYjk2NmMuanBnIl0sWyJwIiwiY29udmVydCIsIiJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA4MSAtYXV0by1vcmllbnQiXSxbInAiLCJ0aHVtYiIsIjYwMHg0MDAjIl1d/efab3ff78bf06b2d11f2ed9680fbac1c30ab966c.jpg,https://www.atlasobscura.com/places/crocodile-house,Crocodile House,Abidjan,Ivory Coast,5.336318,-4.027751
https://assets.atlasobscura.com/media/W1siZiIsInVwbG9hZHMvcGxhY2VfaW1hZ2VzLzlkNzM0YzAxZmE1NjJhNTU3M19aYW1iZXppX1JpdmVyX2F0X2p1bmN0aW9uX29mX05hbWliaWEsX1phbWJpYSxfWmltYmFid2VfJl9Cb3Rzd2FuYS5qcGciXSxbInAiLCJjb252ZXJ0IiwiIl0sWyJwIiwiY29udmVydCIsIi1xdWFsaXR5IDgxIC1hdXRvLW9yaWVudCJdLFsicCIsInRodW1iIiwiNjAweDQwMCMiXV0,https://www.atlasobscura.com/places/african-quadripoint,African Quadripoint,Chobe,Botswana,-17.791667,25.263333
